长度,面积,数量
1555,1,1
4283,2,1
1901,4,1
1405,2,2
1571,1,1
1796,1,1
1891,1,1
1201,2,1
1455,1,1
1435,1,1
1425,1,1
1425,1,1
1875,1,1
1330,1,1
425,2,1
425,1,3
535,2,1
1915,4,1
1140,2,1
3471,1,1
3340,1,1
3375,1,10
2649,2,1
3250,1,1
3762,1,1
2149,1,1
2425,1,1
2656,1,1
4205,1,3
4245,2,1
3940,1,1
3980,2,1
2603,4,1
2643,2,1
1365,1,1
1405,1,1
1665,1,1
1350,2,1
2157,1,1
317,1,1
2807,1,1
780,1,1
2056,1,1
4245,1,1
3720,2,1
2684,1,1
2425,2,1
2166,4,1
3994,2,1
3940,1,1
3980,1,1
3950,1,1
3950,2,1
3990,1,1
3990,1,1
2603,1,1
2643,1,1
1323,1,4
1405,1,1
3042,2,2
327,1,1
3365,2,1
3573,4,5
3364,2,1
4306,1,1
3365,1,1
2465,1,6
2750,2,1
100,1,1
2750,1,1
100,1,1
2750,1,1
100,1,1
2750,1,6
100,2,1
2750,1,1
100,2,1
2750,4,1
100,2,1
2750,1,1
100,1,1
2750,1,1
100,2,1
2750,1,1
100,1,1
2750,1,1
100,1,1
2750,1,1
100,1,1
2750,2,1
100,1,1
2750,2,1
100,4,1
261,2,1
258,1,1
2750,1,1
100,1,1
2750,2,1
