长度,面积,数量
1555,1,1
4283,1,1
1901,1,1
1405,1,1
1571,1,1
1796,1,1
1891,1,1
1201,1,1
1455,2,1
1435,1,1
1425,1,1
1425,1,1
1875,1,1
1330,1,1
425,1,1
425,1,1
535,1,1
1915,2,1
1140,2,1
3471,1,1
3340,1,1
3375,4,1
2649,3,1
3250,1,1
3762,1,1
2149,1,1
2425,1,1
2656,1,1
4205,1,1
4245,2,1
3940,2,1
3980,1,1
2603,1,1
2643,4,1
1365,3,1
1405,1,1
1665,1,1
1350,1,1
2157,1,3
317,1,1
2807,1,1
780,2,1
2056,2,1
4245,1,2
3720,1,1
2684,4,2
2425,3,1
2166,1,1
3994,1,1
3940,1,1
3980,1,6
3950,1,1
3950,1,1
3990,2,1
3990,2,1
2603,1,1
2643,1,1
1323,4,1
1405,3,1
3042,1,1
327,1,4
3365,1,1
3573,1,1
3364,1,1
4306,1,1
3365,2,1
2465,2,1
2750,1,1
100,1,1
2750,4,1
100,3,1
2750,2,6
100,1,1
2750,1,1
100,1,1
2750,1,1
100,1,1
2750,1,1
100,1,1
2750,2,1
100,2,1
2750,1,1
100,1,1
2750,4,1
100,3,1
2750,2,1
100,1,1
2750,3,1
100,2,1
2750,1,1
100,1,1
2750,4,1
100,3,1
261,2,1
258,1,1
2750,2,1
100,2,1
2750,1,1
