长度,数量,面积
1555,1,1
4283,1,2
1901,1,4
1405,2,2
1571,1,1
1796,1,1
1891,1,1
1201,1,2
1455,1,1
1435,1,1
1425,1,1
1425,1,1
1875,1,1
1330,1,1
425,1,2
425,3,1
535,1,2
1915,1,4
1140,1,2
3471,1,1
3340,1,1
3375,10,1
2649,1,2
3250,1,1
3762,1,1
2149,1,1
2425,1,1
2656,1,1
4205,3,1
4245,1,2
3940,1,1
3980,1,2
2603,1,4
2643,1,2
1365,1,1
1405,1,1
1665,1,1
1350,1,2
2157,1,1
317,1,1
2807,1,1
780,1,1
2056,1,1
4245,1,1
3720,1,2
2684,1,1
2425,1,2
2166,1,4
3994,1,2
3940,1,1
3980,1,1
3950,1,1
3950,1,2
3990,1,1
3990,1,1
2603,1,1
2643,1,1
1323,4,1
1405,1,1
3042,2,2
327,1,1
3365,1,2
3573,5,4
3364,1,2
4306,1,1
3365,1,1
2465,6,1
2750,1,2
2750,1,1
2750,1,1
2750,6,1
2750,1,1
2750,1,4
2750,1,1
2750,1,1
2750,1,1
2750,1,1
100,1,1
2750,1,1
2750,1,2
2750,1,2
261,1,2
258,1,1
2750,1,1
2750,1,2
